ID,price
10010571124,2684678.05514115
10031704713,9777002.0171005
10040911649,24679110.1201522
10047106840,2215409.18410615
10050126039,7332037.88058084
10051817340,4027976.02099328
10055826887,2905610.77306131
10074948949,3732353.62536519
10085875579,2920469.8134016
10085950499,2784499.93539591
10103125673,7192254.74068828
10113421179,4127768.38583283
10116608201,14949342.29352
10117418092,4947642.45314739
10117908293,1435226.27089207
10122046281,4776018.44609009
10126963321,12661001.8293185
10134183829,4916394.99422451
10137738355,1658408.10903489
10142778116,2161834.77490797
10160867469,3843642.29988535
10162640077,3316963.43572133
10163092309,3752396.95205558
10164049422,4434314.56610318
10171706229,14824246.3433194
10179491907,5384971.24138131
10185946137,2351304.56743572
10187928727,1316326.70527318
10188761753,2435668.49775331
10203979337,5234681.55618817
10206498302,11048470.4773843
10211842103,8887054.70723957
10219336853,5142108.8858576
10221275743,4174872.07961651
10221688752,3256208.85073583
10230577006,13946381.5150806
10235451663,7455238.31373019
10238761625,2873886.1131718
10247604884,3394002.02125947
10280752303,1530156.52948638
10283221508,2416236.24511271
10283463683,7457628.14038457
10285619555,2286321.03112602
10289527068,5410902.50297767
10305085736,7998393.31496913
10307882139,6802966.5631108
10313815775,9212889.82142009
10321965138,2048125.43687422
10323929940,3914448.12428077
10324298212,4782638.08027976
10343240512,4464120.95805773
10348821199,5920766.66840761
10357676215,14509934.029575
10364067088,5753586.8198274
10364750414,3812176.26173738
10365203898,2996269.39970927
10376464976,5136798.15496571
10386986551,6926738.56230474
10387372007,6826365.71519348
10387870918,1915549.06180679
10389493453,4617579.51699501
10400505070,6684127.03793295
10406998693,9436353.48000306
10408442971,9335668.11080913
10415166474,9234237.64461744
10417316928,1640526.99386317
10420295382,15247455.8579571
10422344364,2468445.76584031
10424508487,4327396.37488593
10427063975,4427911.77922199
10436983766,1463806.91293901
10445890716,2970217.56255932
10461645586,4631354.27952242
10462135578,4281055.72816403
10468289405,4198454.74672622
10482540954,2046023.16961831
10487397328,3153978.87731333
10491119224,7318519.67648594
10493845270,4566236.95005864
10495154969,7102230.9153268
10495278401,5945336.75805797
10500147241,2690883.55810915
10502242984,19544456.0415356
